,0
0,Alabama
1,Colorado
2,Delaware
3,Idaho
4,Indiana
5,Maine
6,Pennsylvania
7,Rhode Island
8,Tennessee
9,Utah
10,Vermont
11,Virginia
12,West Virginia
13,Wisconsin
14,Wyoming
